user_id,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Unknown,Vampire,Yaoi
11,8.31081081081081,8.451612903225806,,8.575471698113208,,8.5,8.76,8.375,8.318181818181818,8.333333333333334,8.605263157894736,8.2,9.0,,7.666666666666667,8.642857142857142,8.0,8.636363636363637,8.5,8.727272727272727,9.1875,7.5,10.0,9.2,8.553571428571429,7.5,8.64516129032258,8.04,9.0,7.8,,9.0,,8.705882352941176,,8.5,8.555555555555555,8.743589743589743,9.333333333333334,,9.0,
12,10.0,10.0,,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,,,10.0,,10.0,10.0,,10.0,,10.0,,10.0,,,10.0,10.0,,,,
13,8.25,8.8,,8.454545454545455,9.0,,8.411764705882353,8.0,,,,8.0,6.0,,,8.0,,9.25,7.333333333333333,,8.833333333333334,9.0,,8.6,8.333333333333334,8.0,8.8,9.0,7.5,8.5,,8.0,,8.571428571428571,,8.0,9.5,7.666666666666667,,,5.0,
14,7.472222222222222,7.888888888888889,,8.185185185185185,10.0,7.142857142857143,7.903225806451613,7.0,7.9411764705882355,8.25,6.0,6.5,6.647058823529412,,8.0,7.916666666666667,,7.142857142857143,7.818181818181818,9.0,7.55,7.5,9.0,8.142857142857142,7.375,9.0,7.0,7.761904761904762,7.8125,,7.0,7.6,,8.125,9.0,9.0,7.833333333333333,7.325,8.11111111111111,,6.428571428571429,
15,8.0,8.8,,8.25,,8.0,6.0,,8.4,7.0,,,,,10.0,5.0,9.0,,,,6.0,,,,,,7.0,5.0,,,,7.857142857142857,,,,,8.5,8.0,,,,
16,6.36283185840708,6.222222222222222,,5.865771812080537,4.5,6.5,6.176470588235294,5.613636363636363,6.146341463414634,6.4,5.714285714285714,6.875,5.857142857142857,,,6.315789473684211,6.0,6.142857142857143,6.363636363636363,5.666666666666667,6.230769230769231,6.083333333333333,,6.555555555555555,5.819277108433735,7.666666666666667,5.753246753246753,6.311111111111111,6.0,5.0,,6.223880597014926,,6.033333333333333,6.0,6.333333333333333,6.193548387096774,6.276595744680851,7.428571428571429,,6.416666666666667,
17,6.8746438746438745,6.307017543859649,7.0,6.920118343195266,5.5,7.54054054054054,6.606896551724138,7.015384615384615,6.371428571428571,6.333333333333333,7.114285714285714,7.2439024390243905,7.076923076923077,6.5,1.1,7.514285714285714,6.84,6.625,7.285714285714286,6.05,7.373333333333333,7.181818181818182,7.142857142857143,7.173913043478261,7.0,7.470588235294118,6.952830188679245,6.76,6.898550724637682,6.947368421052632,4.666666666666667,7.31875,2.5,6.74,7.5,6.3,7.432432432432432,7.28494623655914,8.3,,7.35,
18,9.833333333333334,9.857142857142858,,9.588235294117649,10.0,9.5,9.73913043478261,8.0,9.857142857142858,10.0,,10.0,9.666666666666666,,,10.0,9.5,10.0,10.0,10.0,9.75,9.5,10.0,9.714285714285714,9.692307692307692,,9.333333333333334,9.5,9.4,10.0,,9.615384615384617,,9.333333333333334,10.0,,9.666666666666666,9.75,10.0,,,
19,7.791666666666667,7.7844827586206895,9.0,7.517482517482517,7.076923076923077,7.921052631578948,7.734439834024896,6.696969696969697,7.701298701298701,7.888888888888889,6.6923076923076925,7.980769230769231,7.836734693877551,7.777777777777778,7.0,7.658536585365853,8.166666666666666,7.75,8.170731707317072,7.1875,8.090909090909092,8.28,7.5,7.808219178082192,7.369458128078818,7.3125,7.459302325581396,7.854014598540146,7.691489361702128,7.17948717948718,8.0,7.697247706422019,,7.628205128205129,7.846153846153846,8.11111111111111,8.46875,7.701030927835052,7.72972972972973,,7.642857142857143,
20,7.877551020408164,7.478260869565218,,7.92,,8.5,8.363636363636363,7.8,6.9393939393939394,7.545454545454546,6.0,9.5,7.5,,10.0,6.75,8.0,7.6,7.7,10.0,8.333333333333334,8.5,,7.428571428571429,7.5,,8.05,7.642857142857143,7.8,8.0,,8.481481481481481,10.0,7.8,6.5,9.333333333333334,8.266666666666667,7.933333333333334,7.333333333333333,,,
21,8.506578947368421,8.4,,8.430622009569378,7.5,8.384615384615385,8.69047619047619,8.175257731958762,8.452991452991453,8.61111111111111,8.166666666666666,8.0,8.576923076923077,,10.0,8.584269662921349,7.7,8.857142857142858,9.5,9.0,8.421875,8.571428571428571,8.0,8.885714285714286,8.375,,8.340909090909092,8.567164179104477,8.714285714285714,8.0,8.642857142857142,8.481481481481481,,8.51063829787234,,8.666666666666666,8.515151515151516,8.367647058823529,9.0,,8.176470588235293,
22,8.166666666666666,8.375,,8.444444444444445,9.2,7.666666666666667,8.235294117647058,,8.0,8.0,,8.5,8.166666666666666,,10.0,8.285714285714286,9.0,8.162162162162161,8.294117647058824,9.0,8.0,8.5,,8.285714285714286,8.6,,9.0,8.232558139534884,8.2,,,8.222222222222221,,8.75,8.25,9.0,7.5,8.2,8.0,,,
23,7.88,8.222222222222221,7.5,7.952380952380952,8.0,8.8,8.0,8.0,8.4,7.666666666666667,6.0,7.5,8.666666666666666,,,,7.833333333333333,8.0,8.333333333333334,8.0,8.0,8.0,10.0,7.857142857142857,7.875,7.666666666666667,8.2,7.846153846153846,8.0,,,7.909090909090909,,8.25,8.5,7.8,8.0,8.272727272727273,8.4,,8.0,
24,,8.5,,8.5,,8.0,8.25,,8.0,,,,,,,8.25,,,,,8.0,,,,8.333333333333334,,,,,8.25,,,8.5,,,,,,,,,
25,8.040816326530612,8.071428571428571,,7.709677419354839,,8.6,8.608695652173912,7.3125,8.189655172413794,8.0,7.117647058823529,8.8,,,,7.964285714285714,,6.0,8.533333333333333,8.0,8.625,8.571428571428571,,9.0,7.860465116279069,,7.925925925925926,7.714285714285714,7.6,,7.375,8.205882352941176,,7.6875,,8.25,9.25,8.241379310344827,9.333333333333334,,8.0,
27,8.161290322580646,7.6875,,7.481481481481482,7.0,9.0,7.5,6.888888888888889,8.210526315789474,7.75,7.142857142857143,8.0,9.0,,,8.285714285714286,8.0,6.8,7.833333333333333,8.5,8.333333333333334,8.0,7.166666666666667,8.058823529411764,7.1875,,7.642857142857143,7.5,8.363636363636363,8.0,4.0,8.476190476190476,,7.684210526315789,4.0,6.0,8.181818181818182,8.590909090909092,7.571428571428571,,,
28,8.475,8.1,,8.192982456140351,,8.0,8.523809523809524,8.4,8.362068965517242,8.5,8.5,8.0,9.333333333333334,8.0,8.11111111111111,8.333333333333334,9.666666666666666,10.0,10.0,,10.0,,10.0,10.0,9.625,8.0,8.666666666666666,8.0,10.0,10.0,,8.439024390243903,,8.0,,9.0,8.666666666666666,9.090909090909092,10.0,,10.0,
29,8.121951219512194,7.583333333333333,,8.107142857142858,,8.6,8.4,8.25,8.129032258064516,6.8,,8.5,9.0,,,8.266666666666667,7.714285714285714,,8.666666666666666,,8.571428571428571,8.142857142857142,,8.5,7.571428571428571,,8.1,8.0,,9.0,,8.1875,,8.4,,,8.0625,8.434782608695652,8.5,,9.0,
30,7.391304347826087,7.631578947368421,,7.206896551724138,,6.833333333333333,7.363636363636363,7.166666666666667,7.565217391304348,8.166666666666666,7.222222222222222,6.0,7.0,,7.0,7.857142857142857,7.0,7.75,7.333333333333333,,7.0,,7.0,6.8,7.625,,7.4,7.714285714285714,6.833333333333333,,,7.0625,,7.0,,6.0,7.444444444444445,7.05,7.5,,7.0,
31,,,,10.0,,,,,,,,,,,,,,,,,,,,,10.0,,10.0,,,,,,,10.0,,,,,,,,
32,9.052631578947368,8.75,,9.5,,7.5,9.052631578947368,10.0,7.9,9.0,7.5,,8.916666666666666,,,10.0,10.0,10.0,8.0,9.0,9.2,10.0,,9.5,8.5,,9.533333333333331,10.0,8.555555555555555,8.0,,9.714285714285714,10.0,9.0,,10.0,9.5,8.952380952380953,8.0,,6.0,
33,7.104166666666667,6.742857142857143,,6.795180722891566,7.0,7.2,7.0,6.583333333333333,6.844444444444444,5.818181818181818,7.0,6.928571428571429,7.4,10.0,,7.25,6.0,7.3,7.5,,6.888888888888889,6.142857142857143,6.6,6.8,7.153846153846154,8.0,6.967741935483871,6.545454545454546,7.5,6.9,7.272727272727272,6.72972972972973,,7.2,,7.0,6.538461538461538,7.351351351351352,7.0,,6.8,
34,9.181818181818182,9.069767441860463,,8.757009345794392,8.0,9.5,8.871428571428572,8.1875,9.081632653061224,9.666666666666666,8.166666666666666,9.172413793103448,9.0,9.0,,9.1,9.166666666666666,8.833333333333334,9.333333333333334,8.285714285714286,9.541666666666666,7.8,10.0,9.3,8.822429906542055,9.5,8.617021276595745,8.615384615384615,8.6,8.674418604651162,6.0,8.94,9.444444444444445,8.92,7.0,7.5,9.066666666666666,9.210526315789474,10.0,,9.5,8.5
35,8.25,,,8.25,,9.0,7.5,,,,,9.0,,,,7.0,,,,,9.0,,,,,,8.0,,7.0,,,9.0,,,,,,8.666666666666666,,,,
36,8.155172413793103,7.962962962962963,9.0,8.0,9.333333333333334,7.833333333333333,8.607142857142858,7.466666666666667,8.13888888888889,7.666666666666667,7.555555555555555,9.0,7.333333333333333,,,8.1875,8.25,8.772727272727273,8.909090909090908,8.0,8.4,8.545454545454545,8.666666666666666,9.11111111111111,8.217391304347826,,7.909090909090909,8.395348837209303,8.11111111111111,8.5,7.0,7.743589743589744,,8.428571428571429,8.625,7.5,8.055555555555555,7.972972972972973,8.818181818181818,,8.8,
37,8.615384615384615,8.916666666666666,,8.512195121951219,10.0,9.0,8.80952380952381,7.8125,8.75,8.0,7.933333333333334,10.0,9.0,,,8.5,6.25,10.0,8.25,,9.6,10.0,9.5,9.5,8.517241379310345,,8.391304347826088,8.7,6.8,8.0,8.5,8.642857142857142,,8.75,,,8.0,8.882352941176471,9.6,,8.666666666666666,
38,8.371428571428572,8.666666666666666,,8.88888888888889,,9.4,9.304347826086955,8.777777777777779,8.772727272727273,7.5,9.454545454545457,,7.333333333333333,,,9.22222222222222,6.0,8.6,8.5,8.666666666666666,9.5,10.0,10.0,8.666666666666666,9.357142857142858,,9.148148148148149,9.0,8.285714285714286,10.0,,8.733333333333333,,9.23076923076923,,7.5,7.333333333333333,9.090909090909092,9.5,,9.0,
40,8.826086956521738,9.214285714285714,,8.561643835616438,,10.0,8.743589743589743,8.0,8.538461538461538,9.25,8.4,9.285714285714286,8.5,9.0,,7.5,9.333333333333334,7.666666666666667,8.0,9.0,8.4,9.0,,9.0,8.78,10.0,8.5,8.444444444444445,7.909090909090909,9.4,8.0,9.153846153846152,,8.452830188679245,7.0,9.0,8.714285714285714,8.818181818181818,,,,
41,7.428571428571429,7.2,,6.964705882352941,7.583333333333333,7.0,7.461538461538462,6.0,7.0,7.666666666666667,4.0,8.0,7.5,6.5,6.0,7.25,7.0,7.6923076923076925,8.125,7.428571428571429,7.947368421052632,7.333333333333333,7.875,8.068965517241379,6.7407407407407405,9.0,7.3076923076923075,7.375,7.869565217391305,7.0,,7.451612903225806,6.2,7.214285714285714,,7.777777777777778,7.333333333333333,7.606060606060606,8.857142857142858,,7.75,
42,7.894308943089431,7.794117647058823,,7.608040201005025,4.444444444444445,7.814814814814815,8.037974683544304,7.690140845070423,7.797297297297297,8.142857142857142,7.477272727272727,7.857142857142857,7.967741935483871,7.0,5.5,7.421052631578948,7.0,6.076923076923077,8.0,5.864864864864865,8.45945945945946,7.642857142857143,7.5,8.44,7.680981595092025,6.75,7.728070175438597,7.518518518518518,8.122448979591837,7.818181818181818,7.2,7.916666666666667,7.266666666666667,7.608108108108108,7.666666666666667,8.0,8.181818181818182,8.074766355140186,8.7,,7.615384615384615,5.5
43,9.0,9.0,,9.0,,,8.0,,9.0,,,,8.0,,,,9.0,,,,8.5,,9.0,8.5,,,,,8.0,,,9.0,,,,,9.0,8.5,9.0,,,
44,5.833333333333333,6.478260869565218,,6.311004784688995,7.9,6.105263157894737,6.258620689655173,5.407407407407407,5.858585858585859,5.125,5.125,6.631578947368421,5.724137931034483,6.75,6.0,5.853658536585366,6.0,6.909090909090909,5.857142857142857,6.266666666666667,6.101449275362318,6.9,6.8,6.454545454545454,5.778761061946903,7.0,6.0085470085470085,6.659090909090909,6.378378378378378,6.0606060606060606,7.0,5.898989898989899,7.0,6.478260869565218,8.5,6.285714285714286,6.32,5.909774436090226,6.45,,6.045454545454546,
45,8.538461538461538,8.0,,8.043478260869565,7.666666666666667,,7.888888888888889,7.0,7.5,7.5,7.0,8.5,7.0,,7.0,7.0,,8.5,9.0,10.0,7.2,9.25,9.0,7.8,7.730769230769231,9.0,7.75,7.833333333333333,8.0,8.0,,7.9,,8.222222222222221,,,6.0,8.090909090909092,7.5,,7.0,
46,7.212121212121212,7.666666666666667,,7.483660130718954,8.333333333333334,7.0,7.896551724137931,6.590909090909091,7.254901960784314,7.2,6.578947368421052,7.7,7.625,7.5,,7.194444444444445,6.6,7.5,7.444444444444445,7.7,8.08695652173913,7.0,7.285714285714286,7.771428571428571,7.393103448275862,,7.370689655172414,7.555555555555555,7.619047619047619,7.75,7.0,7.407407407407407,7.5,7.71875,7.25,8.0,7.285714285714286,7.813725490196078,8.277777777777779,,8.307692307692308,
47,8.214953271028037,8.450980392156863,8.0,8.285714285714286,,8.470588235294118,8.46987951807229,7.468085106382978,8.130952380952381,7.636363636363637,7.722222222222222,8.909090909090908,8.428571428571429,8.6,7.0,8.11111111111111,8.75,8.0,8.785714285714286,8.0,8.454545454545455,8.0,8.0,8.266666666666667,8.101190476190476,9.0,8.326923076923077,8.136363636363637,8.0,8.461538461538462,,8.536842105263158,,8.44186046511628,10.0,9.2,8.434782608695652,8.414285714285715,8.727272727272727,,8.0,
48,9.666666666666666,9.4,,9.833333333333334,,10.0,9.615384615384617,10.0,9.5,10.0,10.0,,10.0,10.0,,8.0,10.0,,10.0,10.0,10.0,,10.0,10.0,9.428571428571429,,9.571428571428571,8.0,,9.5,,9.77777777777778,,9.5,,10.0,9.5,9.875,10.0,,,
49,7.386792452830188,7.4222222222222225,7.0,7.436170212765957,8.0,7.333333333333333,7.64,7.03030303030303,7.345454545454546,7.176470588235294,7.178571428571429,7.5,7.125,,,7.529411764705882,7.285714285714286,7.5,7.5,9.0,7.315789473684211,7.2,8.0,7.666666666666667,7.174603174603175,8.0,7.430555555555555,7.448275862068965,7.294117647058823,9.0,7.0,7.711538461538462,,7.565217391304348,,7.333333333333333,7.608695652173913,7.42,7.818181818181818,,6.666666666666667,
50,7.896551724137931,8.615384615384615,,8.342857142857143,,8.875,7.866666666666666,8.0,8.235294117647058,8.5,7.0,8.5,7.0,,,8.857142857142858,7.5,8.0,8.4,7.5,8.0,9.0,8.333333333333334,7.666666666666667,8.0,8.2,8.352941176470589,8.333333333333334,7.909090909090909,8.272727272727273,,8.148148148148149,8.0,8.736842105263158,6.0,,8.222222222222221,8.25,7.666666666666667,,8.5,
51,9.0,8.0,,8.6875,,9.0,8.363636363636363,,8.0,8.0,9.5,8.333333333333334,4.0,,,9.0,,10.0,9.666666666666666,,7.0,8.75,9.5,9.5,8.181818181818182,,8.222222222222221,9.2,,7.5,,8.5,9.0,7.5,,9.0,9.166666666666666,8.625,10.0,,,
52,8.576271186440678,8.770833333333334,,8.5,9.25,,8.770491803278688,7.891891891891892,8.652173913043478,,8.208333333333334,8.833333333333334,8.0,,10.0,8.5,8.333333333333334,9.08,8.727272727272727,8.727272727272727,9.27777777777778,8.5625,9.0,9.25,8.52112676056338,8.0,8.39655172413793,8.773584905660377,8.6875,8.0,8.166666666666666,8.307692307692308,,8.708333333333334,8.857142857142858,7.666666666666667,8.066666666666666,8.625,9.142857142857142,,8.0,
53,6.790055248618785,7.091836734693878,7.125,6.747572815533981,8.166666666666666,7.170212765957447,6.974619289340102,4.285714285714286,6.862595419847328,6.666666666666667,5.0,7.234375,7.117647058823529,7.15625,6.4,7.288135593220339,6.923076923076923,6.642857142857143,7.4,6.565217391304348,7.358974358974359,6.684210526315789,8.4,7.521739130434782,6.698863636363637,6.923076923076923,6.131578947368421,6.709090909090909,7.452380952380952,6.559633027522936,6.666666666666667,6.771929824561403,6.0,7.214285714285714,7.666666666666667,6.32,6.6875,6.87719298245614,7.875,,5.481481481481482,
54,7.681818181818182,8.666666666666666,,7.647887323943662,,7.142857142857143,8.148148148148149,7.266666666666667,8.083333333333334,8.166666666666666,7.25,7.0,7.0,7.8,,7.9,9.0,,7.0,8.222222222222221,8.333333333333334,8.142857142857142,,8.333333333333334,7.639344262295082,,7.592592592592593,9.0,7.454545454545454,7.6,,7.962962962962963,,7.68,,8.2,8.333333333333334,8.0,10.0,,9.0,
55,7.932584269662922,8.076923076923077,,7.726315789473684,,8.0,8.21875,7.491228070175438,7.956521739130435,8.142857142857142,7.414634146341464,8.0,8.444444444444445,,,8.125,7.384615384615385,8.5,9.0,8.0,8.05,7.5,,7.666666666666667,7.923076923076923,7.5,7.769230769230769,7.842105263157895,7.529411764705882,8.153846153846153,7.625,7.872340425531915,,7.882352941176471,,7.666666666666667,7.852941176470588,7.920634920634921,8.444444444444445,,7.363636363636363,
56,8.545454545454545,8.444444444444445,,8.0,,9.0,8.0,7.0,8.25,8.0,,,8.5,,,9.0,8.0,7.666666666666667,7.833333333333333,,9.0,9.0,7.0,7.5,7.333333333333333,,,8.285714285714286,8.25,,,8.6,,9.0,,,8.666666666666666,8.25,8.0,,,
57,8.428571428571429,8.117647058823529,8.666666666666666,8.571428571428571,8.666666666666666,8.25,8.305555555555555,9.0,7.857142857142857,8.0,8.5,7.5,10.0,,8.0,7.666666666666667,8.6,8.68421052631579,8.166666666666666,8.666666666666666,8.181818181818182,8.4,9.0,8.555555555555555,8.521739130434783,8.5,8.571428571428571,8.363636363636363,8.6,8.75,7.0,8.785714285714286,,8.25,8.75,9.11111111111111,9.285714285714286,8.5,9.5,,7.0,
58,7.923076923076923,8.833333333333334,,8.4,,8.0,8.4,8.5,7.866666666666666,,8.0,8.5,8.25,,,7.0,,,7.0,,8.2,,10.0,8.666666666666666,8.272727272727273,9.0,8.31578947368421,8.5,8.0,8.0,,8.416666666666666,,8.454545454545455,,,7.0,8.172413793103448,9.0,,8.0,
59,7.0,7.277777777777778,,7.634146341463414,,7.0,8.071428571428571,7.166666666666667,7.172413793103448,7.090909090909091,6.5,6.5,8.0,8.0,,7.545454545454546,,,7.4,8.166666666666666,7.714285714285714,8.0,,8.166666666666666,7.625,,7.857142857142857,8.0,8.2,,,7.193548387096774,,7.5,,8.0,7.5,8.052631578947368,8.0,,,
61,9.538461538461538,9.488372093023257,,9.336,,9.625,9.18421052631579,8.846153846153847,9.51851851851852,10.0,9.0,9.607142857142858,8.88888888888889,10.0,10.0,9.642857142857142,9.142857142857142,,9.4,9.0,8.954545454545455,9.6,,9.75,9.223880597014926,10.0,9.17948717948718,9.5,9.0,9.25,,9.490196078431373,9.666666666666666,8.941176470588236,,10.0,9.363636363636363,9.265625,9.0,,9.0,9.5
62,9.12121212121212,8.695652173913043,10.0,9.258064516129032,9.0,8.4,8.583333333333334,8.714285714285714,8.5,7.5,6.0,9.0,8.444444444444445,,,9.0,,8.88888888888889,8.428571428571429,10.0,9.090909090909092,10.0,9.2,8.76923076923077,8.555555555555555,8.333333333333334,9.22222222222222,8.947368421052632,9.0,8.0,,8.75,,8.833333333333334,9.5,10.0,9.25,8.863636363636363,8.4,,9.75,
63,7.518518518518518,7.857142857142857,,7.666666666666667,,10.0,8.461538461538462,5.5,7.571428571428571,,5.5,7.0,7.0,,,8.0,,8.5,9.666666666666666,7.0,6.857142857142857,7.5,,8.0,7.625,5.0,7.428571428571429,7.75,7.2,,6.0,8.4,,6.833333333333333,,8.0,8.5,7.6,8.0,,6.0,
64,9.022727272727272,9.464285714285714,,8.966666666666667,,9.333333333333334,9.21818181818182,8.76923076923077,9.095238095238097,9.142857142857142,8.733333333333333,9.25,9.0,9.666666666666666,,9.242424242424242,9.333333333333334,8.125,9.666666666666666,10.0,9.210526315789474,9.6,10.0,9.5,8.84251968503937,9.0,8.934065934065934,8.482758620689655,9.125,9.166666666666666,,9.263157894736842,,9.25,6.0,9.333333333333334,8.848484848484848,9.135922330097088,9.11111111111111,,8.722222222222221,
65,9.842105263157896,9.818181818181818,,9.928571428571429,9.0,8.0,9.75,,10.0,,,9.75,9.5,,,10.0,,9.0,,,8.0,10.0,8.0,8.5,,9.75,9.666666666666666,9.88888888888889,9.0,10.0,,9.736842105263158,,10.0,10.0,9.5,10.0,9.25,8.0,,10.0,10.0
66,7.894736842105263,7.9411764705882355,,7.545454545454546,6.5,8.071428571428571,7.5,7.75,7.642857142857143,7.0,7.090909090909091,7.333333333333333,7.461538461538462,7.25,6.333333333333333,7.625,7.8,,8.0,7.0,7.777777777777778,6.333333333333333,8.0,8.5,7.405405405405405,9.0,7.0625,7.4,8.5,7.24,,8.076923076923077,7.388888888888889,7.0,,7.0,8.0,7.848484848484849,7.0,,7.625,7.4
67,8.65,9.2,7.75,8.785714285714286,9.5,9.4,8.75,8.421052631578947,8.820512820512821,9.5,8.5,9.0,8.166666666666666,8.5,10.0,9.357142857142858,8.285714285714286,9.0,9.0,10.0,9.1,8.0,8.666666666666666,8.368421052631579,8.68421052631579,,8.520833333333334,8.807692307692308,8.409090909090908,9.333333333333334,7.0,8.911111111111111,,8.772727272727273,8.0,8.1,8.678571428571429,8.78048780487805,9.4,,9.2,
68,9.923076923076923,9.75,,9.928571428571429,,,9.88888888888889,,9.77777777777778,9.0,,10.0,10.0,,,9.5,10.0,10.0,10.0,,10.0,10.0,,10.0,9.875,10.0,9.8,9.857142857142858,10.0,9.666666666666666,,10.0,,10.0,,,10.0,10.0,,,,
70,7.647058823529412,7.555555555555555,,7.15,9.0,8.2,7.555555555555555,4.0,7.454545454545454,,7.0,7.333333333333333,7.375,,5.0,,,8.666666666666666,8.0,8.0,7.363636363636363,7.0,9.0,7.571428571428571,7.083333333333333,10.0,7.275862068965517,7.636363636363637,7.2,8.5,6.0,7.708333333333333,6.75,7.555555555555555,,7.6,7.529411764705882,7.6923076923076925,8.25,,,
71,10.0,10.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,9.333333333333334,9.76,,9.44186046511628,9.0,10.0,9.672727272727272,9.416666666666666,9.575757575757576,9.5,9.428571428571429,10.0,9.11111111111111,10.0,,9.583333333333334,,9.375,9.727272727272728,10.0,9.571428571428571,9.5,,9.2,9.62,,9.590909090909092,9.285714285714286,9.555555555555555,9.666666666666666,,9.357142857142858,10.0,9.590909090909092,9.5,9.666666666666666,9.642857142857142,9.282051282051285,9.166666666666666,,8.857142857142858,
73,7.291079812206573,7.306666666666667,8.5,7.05859375,9.333333333333334,6.866666666666666,7.519230769230769,6.55,6.8671875,7.642857142857143,6.723404255319149,7.733333333333333,7.818181818181818,8.666666666666666,5.0,7.1,6.454545454545454,7.545454545454546,8.08,7.6,7.757142857142857,7.4,10.0,8.181818181818182,6.98974358974359,9.0,6.987012987012987,7.490566037735849,7.275,6.6,6.666666666666667,7.279569892473118,,7.451612903225806,8.0,7.666666666666667,7.0,7.435064935064935,8.518518518518519,,7.388888888888889,
74,7.1625,7.476190476190476,,7.2823529411764705,,7.666666666666667,7.701754385964913,6.411764705882353,7.196078431372549,7.181818181818182,6.0,8.0,8.333333333333334,,7.0,6.769230769230769,3.0,5.857142857142857,8.11111111111111,7.714285714285714,8.055555555555555,6.333333333333333,9.0,7.857142857142857,7.170731707317073,,7.345679012345679,6.684210526315789,7.4,7.5,,7.957446808510638,,7.783783783783784,,,8.210526315789474,7.3428571428571425,7.428571428571429,,8.11111111111111,
